	영화명	감독	주연배우	평점	평가자수	상영시간
0	33	패트리시아 리건	"['안토니오 반데라스', ' 로드리고 산토로', ' 줄리엣 비노쉬']"	8.56	240	126
1	800	관후	"['어우 하오', ' 두순', ' 장유호', ' 당예흔', ' 강무', ' 야오천', ' 왕첸웬', ' 장역', ' 웨이 천', ' 리천', ' 허우용']"	3.4	693	149
2	1917	샘 멘데스	"['조지 맥케이', ' 딘-찰스 채프먼']"	8.89	6279	119
3	1987	장준환	"['김윤석', ' 하정우', ' 유해진', ' 김태리', ' 박희순', ' 이희준']"	9.23	33618	129
4	#살아있다	조일형	"['유아인', ' 박신혜']"	4.12	18648	98
5	0.0MHz	유선동	"['정은지', ' 이성열', ' 최윤영', ' 신주환', ' 정원창']"	4.98	2057	102
6	007 스카이폴	샘 멘데스	"['랄프 파인즈', ' 다니엘 크레이그', ' 하비에르 바르뎀', ' 주디 덴치']"	7.91	6118	143
7	007 스펙터	샘 멘데스	"['다니엘 크레이그', ' 랄프 파인즈', ' 레아 세이두', ' 모니카 벨루치', ' 크리스토프 왈츠', ' 데이브 바티스타']"	7.03	6524	148
8	12 솔져스	니콜라이 퓰시	"['크리스 헴스워스', ' 마이클 섀넌', ' 마이클 페나', ' 트래반트 로즈']"	8.14	1345	130
9	127시간	대니 보일	['제임스 프랭코']	8.17	2765	93
10	13시간	마이클 베이	"['파블로 쉬레이버', ' 존 크래신스키', ' 제임스 뱃지 데일', ' 맥스 마티니']"	8.09	1319	144
11	15소년 표류기: 해적섬을 탈출하라	나카무라 류타로	"['마츠모토 리카', ' 토요사키 아키', ' 오노 카린', ' 오노 켄쇼']"	5.9	20	82
12	1919 유관순	신상민	"['이새봄', ' 양윤희', ' 김나니', ' 박자희', ' 김규리', ' 김무늬', ' 류의도', ' 장세아', ' 황도원', ' 문보람', ' 나애진']"	8.33	363	79
13	19곰 테드	세스 맥팔레인	"['마크 월버그', ' 세스 맥팔레인', ' 아만다 사이프리드', ' 모건 프리먼', ' 리암 니슨']"	7.35	970	115
14	19곰 테드 2	세스 맥팔레인	"['마크 월버그', ' 세스 맥팔레인', ' 아만다 사이프리드', ' 모건 프리먼', ' 리암 니슨']"	7.35	970	115
15	1급기밀	홍기선	"['김상경', ' 김옥빈', ' 최무성']"	8.88	2227	101
16	21 브릿지: 테러 셧다운	브라이언 커크	"['채드윅 보스만', ' J.K. 시몬스', ' 시에나 밀러', ' 테일러 키취']"	7.96	716	99
17	23 아이덴티티	M. 나이트 샤말란	"['제임스 맥어보이', ' 안야 테일러 조이']"	7.66	8948	117
18	26년	조근현	"['진구', ' 한혜진', ' 임슬옹']"	6.42	51612	135
19	300: 제국의 부활	노암 머로	"['에바 그린', ' 설리반 스탭플턴', ' 로드리고 산토로', ' 레나 헤디']"	7.17	4435	102
20	47 미터	요하네스 로버츠	"['소피 넬리스', ' 시스틴 로즈 스탤론', ' 브리안느 쥬', ' 코린 폭스']"	6.9	2365	90
21	47미터 2	요하네스 로버츠	"['소피 넬리스', ' 시스틴 로즈 스탤론', ' 브리안느 쥬', ' 코린 폭스']"	6.9	2365	90
22	4등	정지우	"['박해준', ' 이항나', ' 유재상', ' 최무성']"	8.56	951	116
23	5 투 7	빅터 레빈	"['안톤 옐친', ' 베레니스 말로에']"	8.02	253	97
24	5.18 힌츠페터 스토리	장영주	"['위르겐 힌츠페터', ' 조성하']"	8.28	137	95
25	50/50	조나단 레빈	"['조셉 고든 레빗', ' 세스 로건']"	8.36	1316	100
26	50가지 그림자: 심연	제임스 폴리	"['다코타 존슨', ' 제이미 도넌']"	7.42	1629	118
27	50가지 그림자: 해방	제임스 폴리	"['제이미 도넌', ' 다코타 존슨']"	7.97	1720	105
28	577 프로젝트	이근우	"['공효진', ' 하정우']"	8.21	1921	99
29	5백만불의 사나이	김익로	"['박진영', ' 조성하', ' 민효린']"	5	1158	107
30	69세	임선애	"['예수정', ' 기주봉', ' 김준경']"	8.64	7588	100
31	7광구	김지훈	"['하지원', ' 안성기', ' 오지호', ' 박철민', ' 송새벽']"	3.34	20198	112
32	7년-그들이 없는 언론	김진혁	"['강지웅', ' 권성민', ' 권석재', ' 노종면', ' 박성제', ' 박성호', ' 박진수', ' 우장균', ' 이근행', ' 이용마', ' 정영하', ' 정유신', ' 조승호', ' 최승호', ' 현덕수', ' 이정호', ' 이채훈', ' 정대균', ' 조상운', ' 황일송']"	8.45	383	110
33	7년의 밤	추창민	"['장동건', ' 류승룡', ' 송새벽', ' 고경표']"	4.76	5034	123
34	7번방의 선물	이환경	"['류승룡', ' 박신혜', ' 갈소원', ' 오달수', ' 박원상', ' 김정태', ' 정만식', ' 김기천']"	8.83	46083	127
35	7번째 내가 죽던 날	라이 루소 영	['조이 도이치']	7.52	902	99
36	7번째 아들	세르게이 보드로프	"['줄리안 무어', ' 벤 반스', ' 제프 브리지스']"	4.92	593	102
37	7호실	이용승	"['신하균', ' 디오']"	6.55	3178	100
38	82년생 김지영	김도영	"['정유미', ' 공유']"	6.68	50563	118
39	B급 며느리	선호빈	"['김진영', ' 조경숙']"	7.94	979	80
40	GROW: 인피니트의 리얼 청춘 라이프	김진수	['인피니트']	9.05	669	20
41	Mr.아이돌	라희찬	"['박예진', ' 지현우', ' 김수로']"	7.28	1474	114
42	PMC: 더 벙커	김병우	"['하정우', ' 이선균']"	5.19	10996	124
43	R.I.P.D. : 알.아이.피.디.	로베르트 슈벤트케	"['라이언 레이놀즈', ' 케빈 베이컨', ' 제프 브리지스']"	7.64	1832	95
